trial_id,subject_id,timestamp_ms,label,risk_label,session_phase,rpe,load_level,label_quality,acc_up_x,acc_up_y,acc_up_z,gyro_up_x,gyro_up_y,gyro_up_z,mag_up_x,mag_up_y,mag_up_z,pitch_up,roll_up,yaw_up,acc_low_x,acc_low_y,acc_low_z,gyro_low_x,gyro_low_y,gyro_low_z,mag_low_x,mag_low_y,mag_low_z,pitch_low,roll_low,yaw_low
trial_unset,subject_unset,2480,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.07,0.75,-0.69,3.8,2.9,1.4,50.0,3.9,11.9,-3.9,133.2,12.9
trial_unset,subject_unset,2500,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.07,0.75,-0.69,3.8,2.9,1.4,50.0,3.9,11.9,-3.9,133.2,12.9
trial_unset,subject_unset,2560,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1781,-0.3721,-0.9182,-0.6104,-0.1221,-0.4272,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,2580,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1781,-0.3721,-0.9182,-0.6104,-0.1221,-0.4272,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,2600,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1781,-0.3721,-0.9182,-0.6104,-0.1221,-0.4272,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,2660,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.07,0.75,-0.69,3.8,2.9,1.4,50.0,3.9,11.9,-3.9,133.2,12.9
trial_unset,subject_unset,2680,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.07,0.75,-0.69,3.8,2.9,1.4,50.0,3.9,11.9,-3.9,133.2,12.9
trial_unset,subject_unset,2700,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.07,0.75,-0.69,3.8,2.9,1.4,50.0,3.9,11.9,-3.9,133.2,12.9
trial_unset,subject_unset,2960,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.3,50.0,3.8,12.1,-3.9,133.2,13.0
trial_unset,subject_unset,2980,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.3,50.0,3.8,12.1,-3.9,133.2,13.0
trial_unset,subject_unset,3000,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.3,50.0,3.8,12.1,-3.9,133.2,13.0
trial_unset,subject_unset,3120,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1809,-0.3677,-0.9186,-0.6104,-0.1221,-0.3662,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,3140,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1809,-0.3677,-0.9186,-0.6104,-0.1221,-0.3662,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,3160,unlabeled,ignore,normal_task,-1,none,uncertain,-0.1809,-0.3677,-0.9186,-0.6104,-0.1221,-0.3662,,,,,,,,,,,,,,,,,,
trial_unset,subject_unset,3240,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.3,50.0,3.8,12.1,-3.9,133.2,13.0
trial_unset,subject_unset,3260,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.3,50.0,3.8,12.1,-3.9,133.2,13.0
trial_unset,subject_unset,3280,unlabeled,ignore,normal_task,-1,none,uncertain,,,,,,,,,,,,,0.06,0.75,-0.69,3.8,3.0,1.3,50.0,3.8,12.1,-3.9,133.2,13.0
